,brand,color,gear,year,body,loc_1,usage,price
26,پراید 131 EX,خاکستری,دنده‌ای,1392,دو لکه رنگ,تهران,130000.0,34000000.0
27,پراید 131 SE,سفید,دنده‌ای,1396,چند لکه رنگ,تهران,80.0,42000000.0
28,پژو 206 تیپ ۲,بژ,دنده‌ای,1382,چند لکه رنگ,کرج,450.0,33000000.0
29,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1389,یک لکه رنگ,تهران,180000.0,55000000.0
30,سمند LX ساده,سفید,دنده‌ای,1388,بدون رنگ,تهران,210000.0,40000000.0
31,پژو پارس ساده,سفید,دنده‌ای,1394,بدون رنگ,تهران,84000.0,81000000.0
32,پراید 111 SE,سفید,دنده‌ای,1393,یک لکه رنگ,اهواز,81000.0,38500000.0
33,سمند LX EF7 بنزینی,سفید صدفی,دنده‌ای,1396,بدون رنگ,اصفهان,77000.0,83000000.0
34,پژو پارس ساده,سفید,دنده‌ای,1387,دو لکه رنگ,اصفهان,280000.0,50000000.0
35,پژو 206 تیپ ۵,سفید,دنده‌ای,1395,یک لکه رنگ,تهران,60000.0,86500000.0
36,سمند LX ساده,سفید,دنده‌ای,1396,بدون رنگ,تهران,50000.0,76000000.0
37,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1397,بدون رنگ,کرج,18000.0,70000000.0
38,پژو 405 GLX بنزینی,عنابی,دنده‌ای,1381,چند لکه رنگ,اصفهان,1.0,25000000.0
39,پژو 206 تیپ ۲,بژ,دنده‌ای,1383,دو لکه رنگ,تهران,219000.0,37000000.0
40,پژو پارس ساده,سفید,دنده‌ای,1387,بدون رنگ,مشهد,230000.0,53500000.0
41,سمند LX ساده,نقره‌ای,دنده‌ای,1388,بدون رنگ,شیراز,300000.0,40000000.0
42,سمند LX EF7 گازسوز,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,35000000.0
43,تیبا صندوق‌دار SX,سفید,دنده‌ای,1397,بدون رنگ,مشهد,59000.0,55500000.0
44,سمند LX,سفید,دنده‌ای,1396,بدون رنگ,تهران,20000.0,78000000.0
45,پژو 206 تیپ ۲,مشکی,دنده‌ای,1381,چند لکه رنگ,اصفهان,360000.0,30000000.0
46,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1393,یک لکه رنگ,مشهد,82000.0,57500000.0
47,پژو 206 تیپ ۲,سفید,دنده‌ای,1396,چند لکه رنگ,کرج,60000.0,72000000.0
48,سمند LX EF7 بنزینی,سفید,دنده‌ای,1390,دو لکه رنگ,شیراز,150000.0,54000000.0
49,سمند LX ساده,سفید,دنده‌ای,1394,بدون رنگ,کرج,50.0,78000000.0
50,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1388,دو لکه رنگ,مشهد,31000.0,40000000.0
51,پژو 206 تیپ ۲,مشکی,دنده‌ای,1382,دو لکه رنگ,اصفهان,390000.0,34000000.0
52,پژو 405 GLX بنزینی,بژ,دنده‌ای,1384,چند لکه رنگ,تهران,298400.0,30500000.0
53,پژو 206 تیپ ۲,دلفینی,دنده‌ای,1390,بدون رنگ,شیراز,230.0,58000000.0
54,پژو 206 تیپ ۲,سفید,دنده‌ای,1397,بدون رنگ,تهران,28000.0,83000000.0
55,سمند LX ساده,آبی,دنده‌ای,1397,بدون رنگ,تهران,32000.0,78000000.0
56,پژو 405 GLX بنزینی,عنابی,دنده‌ای,1379,چند لکه رنگ,قم,0.0,18500000.0
57,سمند LX ساده,سفید,دنده‌ای,1397,بدون رنگ,اهواز,22000.0,76000000.0
58,پژو 206 تیپ ۲,سفید,دنده‌ای,1396,بدون رنگ,اصفهان,60000.0,80000000.0
